ParticleID,InitialSpeed(m/s),InitialPosX(m),InitialPosY(m),InitialPosZ(m),CollisionType,MinEarthDistance(m),MinJupiterDistance(m)
769,33907.941094076356,155889958030.44534,240128754.9631587,-919871093.9997569,0,873324097.5908444,870458825694.2072
770,33900.05982371315,155890513735.55997,241928863.94448686,-920067791.0988964,0,872287499.3195684,870460559836.5247
771,33895.19481709552,155889789690.57562,243660350.27311414,-921285354.2067993,0,870660809.5964183,870461428016.634
772,33919.64716559371,155889050417.98837,241756083.4169316,-921226648.876378,0,872347185.2595241,870459499417.7292
773,33912.66240323172,155889818257.6381,241397985.9732282,-922660302.2746576,0,874171331.8673873,870459742928.6879
774,33923.18507737297,155889468443.42343,239194013.03981405,-923091953.333979,0,874269165.389225,870457843226.2607
775,33908.17097403141,155889081756.13513,240631349.74235654,-920332393.4224082,0,875638136.9604595,870458648157.3517
776,33898.80590718044,155888993683.4533,242207420.93353462,-919394797.6984825,0,871674703.192047,870459780152.8258
777,33907.38539675042,155892621590.63156,242186409.45115873,-920400684.667033,0,874486359.4871804,870462125502.2819
778,33923.51841564418,155890624258.02127,241642978.46733668,-923392711.0866944,0,881951679.290364,870460463665.177
779,33924.52442359092,155889215604.63782,242379185.80159152,-921295055.167249,0,881852257.4500445,870460082540.7614
780,33908.62278220629,155891718758.71872,239934234.38051885,-922157841.4219949,0,874021210.9736941,870459849179.5618
781,33903.405635766445,155889809327.5601,241852002.63234937,-920665578.8352448,0,870418219.5706227,870460054475.0063
782,33914.490097319096,155889579856.04846,239665118.75869405,-920876307.8161113,0,870679470.3502703,870458241785.2755
783,33896.810949512364,155889955943.70297,241995631.9512277,-922453463.7013675,0,864206824.4523128,870460282985.7827
784,33894.543710843376,155889790595.6683,241785806.54793158,-922492311.7208831,0,873235729.3274577,870460018343.6714
785,33895.96725657193,155890760939.93927,242402096.97986162,-922665927.4427177,0,865520534.4139116,870461116888.9647
786,33929.885027226075,155890513729.3957,241196812.28088915,-922026641.1269176,0,878379215.9829177,870460030895.0226
787,33908.10650573261,155890589677.53497,241560420.93926755,-921662498.3152776,0,870700732.0044543,870460352244.7039
788,33914.757058790434,155887578593.08298,240662621.248002,-921638103.6613338,0,873161521.6741743,870457719660.9636
789,33913.447007571696,155890077674.80698,242049787.42680314,-922096940.1285938,0,873295304.4658356,870460399337.8105
790,33916.441539623935,155888536191.80002,239590074.83148876,-921324143.5945518,0,872797046.3300844,870457516167.5048
791,33927.483787934,155889796255.4878,244404416.69530725,-921806898.1153321,0,879774977.1010906,870462010188.3235
792,33925.577811171104,155889970854.53098,241268480.7367491,-923147226.092446,0,882052689.4382142,870459751040.5813
793,33916.68897550611,155888846114.14734,239488789.92748034,-919189523.8494925,0,870761216.0872724,870457607278.8643
794,33908.402039612316,155891870511.36557,240582902.76307446,-922698667.4582756,0,871544522.1938566,870460449066.8628
795,33914.78422368936,155889261804.8877,241901031.69781393,-922061757.3066798,0,878265900.0839325,870459759806.1139
796,33896.01270597777,155891101623.0273,241283802.0347558,-920471633.8473495,0,866736625.0426097,870460454153.9462
797,33898.98410766208,155890752383.56033,240653175.82341337,-921044370.9551347,0,862235722.3220272,870459753908.6355
798,33904.352054800926,155890634938.77414,241346238.40948662,-923219519.0485698,0,877452207.2089244,870460241546.8282
799,33926.41331402463,155889991351.16364,240025811.59257495,-918837918.6018475,0,878857596.4982368,870458753719.8851
800,33898.03089748789,155890669191.9434,239986427.06337634,-921432867.0249659,0,869197410.0682644,870459199009.0688
801,33913.71936815272,155889945867.093,240790527.72318667,-921501588.5343692,0,873623131.8760066,870459345220.3182
802,33906.40820869715,155890574762.64398,241961405.4109607,-920548597.5314775,0,875741849.5580754,870460632579.4686
803,33898.72319868801,155888812127.8642,241130524.82485172,-922045601.6468616,0,867376509.1905355,870458878736.9464
804,33913.74112045574,155890035068.6181,240006476.56712672,-919531868.9235986,0,871450570.2255594,870458776378.5873
805,33916.79321867622,155890206930.75958,239252497.34298843,-921460595.2541063,0,875426915.6945109,870458341078.0719
806,33903.94524220359,155890607354.21634,238301189.06766826,-922087703.0890442,0,868650138.8156414,870457882349.5624
807,33920.60335125173,155887596418.6151,241663217.98839357,-919440773.0657554,0,870529035.6806879,870458459552.9507
808,33918.10488137552,155887963343.39142,241010862.64427465,-921295342.767635,0,873990663.6068674,870458228099.3246
809,33905.110637954676,155889308457.5688,241277532.09594816,-920093546.1739318,0,873397471.2425903,870459284680.9774
